"","time","adi_ecg","adi_finger","adi_fro","ard_fro","ibi","id"
"80",0.079,0.73125,-0.0225,4.859687,0.00046875,NA,"001"
"907",0.906,0.778125,-0.0019375,4.861562,0.00078125,0.827,"001"
"1744",1.743,0.790625,-0.0076875,4.86125,0.0009375,0.837,"001"
"2586",2.585,0.74375,-0.0405,4.456563,0.00078125,0.842,"001"
"3460",3.459,0.784375,-0.0125,4.86125,0.00078125,0.874,"001"
"4375",4.374,0.684375,-0.0038125,4.860313,0.0009375,0.915,"001"
"5318",5.317,0.76875,-0.00025,4.860938,0.00078125,0.943000000000001,"001"
"6248",6.247,0.75,-0.0035,4.852812,0.00078125,0.93,"001"
"7149",7.148,0.68125,0.00125,4.860313,0.00046875,0.901,"001"
"8060",8.059,0.75,-0.004875,4.779375,0.000625,0.911,"001"
"9006",9.005,0.74375,-0.0041875,4.86,0.000625,0.946000000000002,"001"
"9981",9.98,0.696875,-0.006375,4.86125,0.000625,0.975,"001"
"10954",10.953,0.7375,-0.0021875,4.859375,0.000625,0.972999999999999,"001"
"11907",11.906,0.734375,-0.0035,4.552812,0.000625,0.953000000000001,"001"
"12824",12.823,0.725,-0.0074375,4.859375,0.00078125,0.917,"001"
"13709",13.708,0.775,-0.0084375,4.86125,0.000625,0.885,"001"
"14610",14.609,0.765625,-0.0029375,4.859375,0.0009375,0.901,"001"
"15547",15.546,0.753125,-0.001,4.835938,0.000625,0.936999999999999,"001"
"16486",16.485,0.7125,-0.0015625,3.747187,0.000625,0.939,"001"
"17403",17.402,0.696875,0.0014375,3.5275,0.00078125,0.917000000000002,"001"
"18286",18.285,0.76875,0.025625,4.861875,0.000625,0.882999999999999,"001"
"19189",19.188,0.775,-0.0145,4.86125,0.000625,0.902999999999999,"001"
"20109",20.108,0.778125,-0.009,4.86125,0.00078125,0.920000000000002,"001"
"21030",21.029,0.815625,-0.004625,4.86125,0.000625,0.920999999999999,"001"
"21949",21.948,0.734375,-0.00275,4.861562,0.000625,0.919,"001"
"22858",22.857,0.765625,0.002375,4.86125,0.000625,0.908999999999999,"001"
"23715",23.714,0.721875,-0.0040625,4.233438,0.000625,0.856999999999999,"001"
"24548",24.547,0.73125,-0.006625,2.86625,0.000625,0.833000000000002,"001"
"25393",25.392,0.76875,-0.0060625,3.979062,0.000625,0.844999999999999,"001"
"26291",26.29,0.759375,-0.000625,4.860625,0.00046875,0.898,"001"
"27255",27.254,0.828125,-0.003375,4.4725,0.00078125,0.964000000000002,"001"
"28237",28.236,0.81875,0,4.86125,0.000625,0.981999999999999,"001"
"29176",29.175,0.696875,-0.008875,4.86,0.000625,0.939,"001"
"30103",30.102,0.728125,-0.0048125,4.762812,0.000625,0.927,"001"
"31039",31.038,0.76875,-0.00325,3.825625,0.00046875,0.936,"001"
"31978",31.977,0.709375,-0.0046875,4.860313,0.00046875,0.939,"001"
"32860",32.859,0.7,-0.004,4.860938,0.00078125,0.882000000000001,"001"
"33708",33.707,0.74375,-0.0025,4.852188,0.00078125,0.847999999999999,"001"
