"","time","adi_ecg","adi_finger","adi_fro","ard_fro","ibi","id"
"110",0.109,0.7,-0.0058125,4.920625,4.951406,NA,"002"
"978",0.977,0.6875,-0.0065625,4.94,4.952031,0.868,"002"
"1825",1.824,0.678125,-0.0055,4.92,4.951875,0.847,"002"
"2665",2.664,0.709375,-0.00625,4.899063,4.951563,0.84,"002"
"3708",3.707,0.63125,-0.0054375,4.919062,4.951094,1.043,"002"
"4721",4.72,0.7,-0.0066875,4.920938,4.951563,1.013,"002"
"5604",5.603,0.771875,-0.0034375,4.917187,4.952969,0.883,"002"
"6460",6.459,0.675,-0.0054375,4.915,4.951719,0.856,"002"
"7300",7.299,0.68125,-0.0059375,4.899687,4.951875,0.840000000000001,"002"
"8083",8.082,0.76875,-0.006125,4.890625,4.952344,0.783,"002"
"8902",8.901,0.778125,-0.005,4.929062,4.952031,0.818999999999999,"002"
"10040",10.039,0.74375,-0.0055,4.917813,4.952188,1.138,"002"
"11053",11.052,0.834375,-0.0023125,4.901562,4.95125,1.013,"002"
"12035",12.034,0.821875,-0.0049375,4.907188,4.952031,0.982000000000001,"002"
"12965",12.964,0.771875,-0.007,4.915625,4.952031,0.93,"002"
"13788",13.787,0.746875,-0.0055625,4.925937,4.952656,0.823,"002"
"14599",14.598,0.596875,-0.005125,4.938125,4.953594,0.811,"002"
"15529",15.528,0.659375,-0.0050625,4.928125,4.951875,0.93,"002"
"16514",16.513,0.70625,-0.007375,4.928125,4.952344,0.985000000000001,"002"
"17538",17.537,0.871875,-0.004,4.879688,4.952031,1.024,"002"
"18563",18.562,0.7,-0.0058125,4.908125,4.951875,1.025,"002"
"19516",19.515,0.778125,-0.0053125,4.931563,4.951875,0.952999999999999,"002"
"20382",20.381,0.803125,-0.005875,4.940313,4.951875,0.866,"002"
"21194",21.193,0.825,-0.00475,4.928125,4.952031,0.812000000000001,"002"
"22093",22.092,0.64375,-0.0031875,4.928438,4.952188,0.898999999999997,"002"
"23042",23.041,0.696875,-0.004875,4.913125,4.951875,0.949000000000002,"002"
"23938",23.937,0.621875,-0.0065,4.911875,4.952188,0.896000000000001,"002"
"24781",24.78,0.759375,-0.005375,4.907813,4.952344,0.843,"002"
"25708",25.707,0.796875,-0.005375,4.916563,4.951563,0.927,"002"
"26844",26.843,0.665625,-0.007375,4.938125,4.9525,1.136,"002"
"27838",27.837,0.821875,-0.00425,4.919688,4.952031,0.994,"002"
"28796",28.795,0.74375,-0.0036875,4.919688,4.952031,0.958000000000002,"002"
"29740",29.739,0.796875,-0.0038125,4.921563,4.951719,0.943999999999999,"002"
"30634",30.633,0.884375,-0.004375,4.913125,4.952031,0.893999999999998,"002"
"31484",31.483,0.80625,-0.0046875,4.919688,4.951406,0.850000000000001,"002"
"32418",32.417,0.85625,-0.004875,4.90375,4.951719,0.934000000000001,"002"
"33364",33.363,0.846875,-0.006,4.911563,4.952969,0.945999999999998,"002"
"34261",34.26,0.81875,-0.005375,4.900625,4.950625,0.896999999999998,"002"
"35300",35.299,0.884375,-0.0056875,4.912187,4.952031,1.039,"002"
"36360",36.359,0.775,-0.0049375,4.916563,4.951563,1.06,"002"
"37332",37.331,0.865625,-0.0044375,4.900938,4.951719,0.972000000000001,"002"
"38255",38.254,0.94375,-0.00225,4.88875,4.95125,0.922999999999995,"002"
"39168",39.167,0.78125,-0.0055625,4.898125,4.951875,0.913000000000004,"002"
"40025",40.024,0.7375,-0.0065625,4.924688,4.951563,0.856999999999999,"002"
"40853",40.852,0.784375,-0.0046875,4.923438,4.952188,0.827999999999996,"002"
"41792",41.791,0.7875,-0.0059375,4.931563,4.952031,0.939,"002"
"42798",42.797,0.759375,-0.008625,4.935,4.9525,1.006,"002"
"43812",43.811,0.896875,-0.0048125,4.910625,4.952813,1.014,"002"
"44863",44.862,0.784375,-0.004,4.932188,4.952031,1.051,"002"
"45833",45.832,0.846875,-0.006,4.92375,4.951875,0.969999999999999,"002"
"46692",46.691,0.803125,-0.003875,4.929688,4.951719,0.859000000000002,"002"
"47565",47.564,0.775,-0.0043125,4.929688,4.952188,0.872999999999998,"002"
"48464",48.463,0.865625,-0.004875,4.915,4.952031,0.899000000000001,"002"
"49342",49.341,0.771875,-0.006,4.91875,4.951563,0.878,"002"
"50191",50.19,0.765625,-0.004375,4.922187,4.951875,0.848999999999997,"002"
"51178",51.177,0.80625,-0.0061875,4.915625,4.952188,0.987000000000002,"002"
"52219",52.218,0.86875,-0.0063125,4.890313,4.952188,1.041,"002"
"53177",53.176,0.88125,-0.0036875,4.891563,4.952188,0.957999999999998,"002"
"54107",54.106,0.784375,-0.0035,4.909688,4.951719,0.93,"002"
"54985",54.984,0.759375,-0.004875,4.897188,4.952031,0.878,"002"
"55825",55.824,0.75,-0.004,4.909063,4.952188,0.839999999999996,"002"
"56733",56.732,0.7625,-0.0045625,4.903125,4.952031,0.908000000000001,"002"
"57649",57.648,0.846875,-0.00275,4.916875,4.951719,0.916000000000004,"002"
"58548",58.547,0.859375,-0.004875,4.922187,4.953125,0.898999999999994,"002"
"59436",59.435,0.7375,-0.0055625,4.935625,4.952813,0.888000000000005,"002"
"60378",60.377,0.909375,-0.0053125,4.90625,4.952031,0.942,"002"
"61305",61.304,0.85,-0.004125,4.92625,4.951406,0.927,"002"
"62164",62.163,0.95625,-0.0048125,4.925625,4.952188,0.858999999999995,"002"
"63105",63.104,0.8875,-0.003875,4.92,4.952344,0.941000000000003,"002"
"64061",64.06,0.9375,-0.0046875,4.913125,4.952656,0.956000000000003,"002"
"64939",64.938,1.065625,-0.00425,4.894687,4.952031,0.878,"002"
"65831",65.83,0.93125,-0.0050625,4.903437,4.952188,0.891999999999996,"002"
"66771",66.77,0.85625,-0.0060625,4.915625,4.951875,0.939999999999998,"002"
"67646",67.645,0.825,-0.0050625,4.930625,4.951719,0.875,"002"
"68500",68.499,0.859375,-0.0039375,4.925937,4.951719,0.853999999999999,"002"
"69421",69.42,0.809375,-0.0044375,4.915,4.952656,0.921000000000006,"002"
"70322",70.321,0.703125,-0.00625,4.930937,4.951875,0.900999999999996,"002"
"71143",71.142,0.8375,-0.0054375,4.934687,4.952031,0.820999999999998,"002"
"72028",72.027,0.840625,-0.004875,4.91625,4.952031,0.885000000000005,"002"
"72920",72.919,0.803125,-0.0054375,4.901875,4.9525,0.891999999999996,"002"
"73755",73.754,0.8,-0.0061875,4.902188,4.952031,0.835000000000008,"002"
"74569",74.568,0.809375,-0.005375,4.928125,4.951875,0.813999999999993,"002"
"75449",75.448,0.859375,-0.006125,4.916563,4.952344,0.879999999999995,"002"
"76346",76.345,0.81875,-0.0068125,4.930625,4.9525,0.897000000000006,"002"
"77174",77.173,0.828125,-0.0046875,4.945,4.951875,0.828000000000003,"002"
"78019",78.018,0.884375,-0.0053125,4.940625,4.951406,0.844999999999999,"002"
"78930",78.929,0.83125,-0.005125,4.935313,4.951563,0.911000000000001,"002"
"79822",79.821,0.903125,-0.005875,4.940313,4.952031,0.891999999999996,"002"
"80627",80.626,0.8625,-0.0040625,4.931875,4.951719,0.805000000000007,"002"
"81488",81.487,0.80625,-0.0053125,4.932188,4.951719,0.86099999999999,"002"
"82368",82.367,0.815625,-0.005125,4.9,4.952031,0.88000000000001,"002"
"83208",83.207,0.78125,-0.0065625,4.92375,4.951563,0.839999999999989,"002"
"83994",83.993,0.709375,-0.0053125,4.93,4.952188,0.786000000000001,"002"
"84862",84.861,0.7,-0.0058125,4.92,4.952344,0.868000000000009,"002"
"85759",85.758,0.703125,-0.0056875,4.919688,4.952031,0.896999999999991,"002"
"86623",86.622,0.709375,-0.004875,4.935,4.952031,0.864000000000004,"002"
"87434",87.433,0.7625,-0.005625,4.909688,4.951563,0.811000000000007,"002"
"88310",88.309,0.690625,-0.0051875,4.905625,4.952188,0.875999999999991,"002"
"89216",89.215,0.678125,-0.006375,4.907188,4.952188,0.906000000000006,"002"
"90035",90.034,0.75,-0.00375,4.927188,4.952344,0.819000000000003,"002"
"90882",90.881,0.725,-0.0043125,4.939687,4.952031,0.846999999999994,"002"
"91759",91.758,0.73125,-0.0066875,4.932812,4.961719,0.876999999999995,"002"
"92626",92.625,0.71875,-0.0065625,4.931563,4.952344,0.867000000000004,"002"
"93435",93.434,0.746875,-0.0065,4.94125,4.95125,0.808999999999997,"002"
"94303",94.302,0.875,-0.0063125,4.925625,4.952188,0.868000000000009,"002"
"95212",95.211,0.775,-0.005,4.940625,4.952031,0.908999999999992,"002"
"96085",96.084,0.89375,-0.004375,4.926875,4.952188,0.873000000000005,"002"
"96903",96.902,0.8625,-0.0044375,4.924688,4.952031,0.817999999999998,"002"
"97774",97.773,0.790625,-0.005125,4.919688,4.952188,0.870999999999995,"002"
"98635",98.634,0.790625,-0.006125,4.929688,4.95125,0.861000000000004,"002"
"99423",99.422,0.796875,-0.00725,4.936563,4.952969,0.787999999999997,"002"
"100242",100.241,0.8,-0.0055625,4.905938,4.953125,0.819000000000003,"002"
"101132",101.131,0.7875,-0.0061875,4.9175,4.951719,0.890000000000001,"002"
"102005",102.004,0.81875,-0.0059375,4.920625,4.952031,0.873000000000005,"002"
"102817",102.816,0.778125,-0.0063125,4.932188,4.951406,0.811999999999998,"002"
"103695",103.694,0.821875,-0.0051875,4.925,4.951563,0.878,"002"
"104599",104.598,0.634375,-0.005125,4.930625,4.951563,0.903999999999996,"002"
